INLINE PersonalSkillTable,Skill
None,0x0
Adrian,GlaciesID
Aelfwine,BlackMagicID
Lamont,KeepUpID
Elena,HorseguardID
Mina,SkyguardID
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
Morren,TowerShieldID
Holstein,QuickRiposteID
Vorkalth,ShortShieldID
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
Generics,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
,0x0
0xFD Enemy (Arena),0x0
0xFE Wall,0x0
0xFF Snag,0x0
